e, e_dot, e_int, stamp, 
-2.4820566595911475, 0.3753043955626974, -0.5095177781522903, 669699000000, 
-2.427250055360501, 0.4627065969091652, -0.4983579166256599, 669767000000, 
-2.3464893548286896, 0.45189101587485975, -0.4837197379853559, 669869000000, 
-2.223968773902354, 0.6776042715271569, -0.46651387893943624, 669971000000, 
-2.125144874227736, 0.7378149353365115, -0.44637353353058534, 670039000000, 
-1.9952941959138877, 0.7622485932948875, -0.4229605229362652, 670141000000, 
-1.9175143192077897, 0.6921018500664881, -0.4025302259566275, 670209000000, 
-1.8083616550506112, 0.6231084695442549, -0.3814113446781526, 670311000000, 
-1.7421451850569354, 0.5845637805028477, -0.36453474395435576, 670379000000, 
-1.6716820080366288, 0.4555988233799413, -0.3481459232096117, 670481000000, 
-1.6319615665195462, 0.3672787284579641, -0.3363859173075407, 670549000000, 
-1.5727678776224212, 0.3297137680473587, -0.3250940968119064, 670651000000, 
-1.5378334319449023, 0.3137604485821462, -0.3161708584057913, 670719000000, 
-1.4879940464872061, 0.2825794371173836, -0.3065730237369686, 670821000000, 
-1.453295852719331, 0.28179193075190456, -0.2986082220767627, 670889000000, 
-1.400035099488471, 0.29319648999578396, -0.28942166657966717, 670991000000, 
-1.3665836654305215, 0.28904062429603156, -0.28132764117588827, 671059000000, 
-1.3181548633725748, 0.2729341203863204, -0.2723182418861045, 671161000000, 
-1.2875320755215451, 0.2635052996965877, -0.2648180402883094, 671229000000, 
-1.2449700716018437, 0.24394930590243705, -0.2567104673663976, 671331000000, 
-1.2201846582324167, 0.22449139096376136, -0.2501791203570537, 671399000000, 
-1.1972530270890374, 0.1590568150426878, -0.24416051712821987, 671467000000, 
-1.166110894387788, 0.18024587948209567, -0.23890323864728283, 671569000000, 
-1.1477305955584733, 0.1650747717685467, -0.23407296780235323, 671637000000, 
-1.1304901640317366, 0.11873576785350466, -0.22962211026519985, 671705000000, 
-1.1084093891789746, 0.13107068793166254, -0.225775343251279, 671807000000, 
-1.094310573118298, 0.12059863637812862, -0.22221400842193392, 671875000000, 
-1.080209462057211, 0.09399975707254556, -0.21886196162363222, 671943000000, 
-1.070349894793491, 0.07986892774935657, -0.21632466199793332, 672011000000, 
-1.0602521029943996, 0.06652453020937088, -0.21405409732300681, 672079000000, 
-1.0509382478038622, 0.06470548996542942, -0.2121026830394502, 672147000000, 
-1.044905269940407, 0.05115611017997512, -0.21040637471591125, 672215000000, 
-1.038630563157412, 0.041025615488167556, -0.2089649387267787, 672317000000, 
-1.0363312537352658, 0.0285800540171377, -0.20799113912220565, 672385000000, 
-1.0359435900174987, 0.008956577133044282, -0.20739369379401176, 672453000000, 
-1.0376438682863849, -0.004375381837063615, -0.20732791413594331, 672521000000, 
-1.042032916094191, -0.020297753588974416, -0.20770802495987165, 672589000000, 
-1.0484520762807066, -0.036027359981072316, -0.20854192404408547, 672657000000, 
-1.0633290578614667, -0.07098713922425226, -0.21025427001575764, 672759000000, 
-1.0767273583223398, -0.09425094013877737, -0.21256723283096754, 672827000000, 
-1.092714102334674, -0.09795014824402444, -0.2155180345678987, 672895000000, 
-1.1115596335347853, -0.11610758404148491, -0.21873340627945326, 672963000000, 
-1.1333708460543122, -0.13552247906546042, -0.22250963879491809, 673031000000, 
-1.1587928184837661, -0.15744394982993626, -0.2269148865381909, 673099000000, 
-1.1866672833182452, -0.1776547908797769, -0.23192206319042155, 673167000000, 
-1.2176161441209974, -0.19607775212410417, -0.23753841639486725, 673235000000, 
-1.2520156777993359, -0.21782798160363548, -0.2437532736825719, 673303000000, 
-1.2894524273241785, -0.23945427734393712, -0.25060561661630076, 673371000000, 
-1.3294278692065378, -0.25804063802400634, -0.25805973162200346, 673439000000, 
-1.3928985786350676, -0.34482050436963024, -0.26745192501105225, 673541000000, 
-1.4365904831796152, -0.35720871324359155, -0.27726112873474806, 673609000000, 
-1.5018443502734176, -0.3631525721278332, -0.28875556080587333, 673711000000, 
-1.5437494369563662, -0.35719651258917, -0.29881228469395993, 673779000000, 
-1.5832754081328186, -0.27143685953133695, -0.30859127969084016, 673847000000, 
