e, e_dot, e_int, stamp, 
4.641241559786712, -0.0329504588335805, 0.9294124845085523, 669699000000, 
4.635694089724306, -0.04374973560159923, 0.9283836439943869, 669767000000, 
4.626733314872078, -0.04836081638211217, 0.9269112642922064, 669869000000, 
4.617031777861618, -0.06220770620896173, 0.9252972788305334, 669971000000, 
4.610153376998222, -0.05526645957952011, 0.9235945646487946, 670039000000, 
4.599627477143309, -0.05801433572769632, 0.9217875088002098, 670141000000, 
4.592633596588199, -0.05839926803341259, 0.9201609633819819, 670209000000, 
4.582411184109254, -0.05738764344685047, 0.9183114838560509, 670311000000, 
4.575907056413509, -0.05575513391563073, 0.916730122474064, 670379000000, 
4.566732527455871, -0.052262188844608794, 0.915003384531909, 670481000000, 
4.56103797007492, -0.04956362112863211, 0.9135785035962866, 670549000000, 
4.553152734274768, -0.04526597727034343, 0.9120615487870372, 670651000000, 
4.548386196553604, -0.04217257840438471, 0.9108384600602195, 670719000000, 
4.542009340395051, -0.037144646265723225, 0.9095698847482282, 670821000000, 
4.538302005809465, -0.03361396914713192, 0.9085798361838746, 670889000000, 
4.533629666259488, -0.027932247118543547, 0.9075960674976002, 670991000000, 
4.531139023641424, -0.023876607226801145, 0.9068713797140251, 671059000000, 
4.528345087540434, -0.01761526239684545, 0.9062075851627563, 671161000000, 
4.527121438269741, -0.013391951238945765, 0.9057737032967734, 671229000000, 
4.52623548853776, -0.00703199667558015, 0.9054468009565291, 671331000000, 
4.526265546826299, -0.002852971478137789, 0.9053081649089201, 671399000000, 
4.526765871284932, 0.0017679424905736596, 0.9052844604432662, 671467000000, 
4.5283806885602225, 0.0070504724464104385, 0.905427473778097, 671569000000, 
4.530007056277775, 0.010803949976141425, 0.9056769077415286, 671637000000, 
4.532058325331359, 0.012258789237122869, 0.9060297380112904, 671705000000, 
4.5358956538769215, 0.019628658663822424, 0.9065307356990703, 671807000000, 
4.538941803441764, 0.02294492703468265, 0.9071263855100029, 671875000000, 
4.5423709044313885, 0.021584168514889868, 0.9078138907833383, 671943000000, 
4.546151577986292, 0.024032581815092158, 0.9084976190572963, 672011000000, 
4.5502740193075875, 0.026343716253996636, 0.9092531001150178, 672079000000, 
4.5547229844037735, 0.02857135472493925, 0.9100765721131769, 672147000000, 
4.559478119787899, 0.030680334934372055, 0.910965008233284, 672215000000, 
4.567135995069723, 0.04137670221983155, 0.9120891399507597, 672317000000, 
4.572566907700691, 0.043629293042638885, 0.9132787348372209, 672385000000, 
4.5782360602311964, 0.03700021720491146, 0.9145292642001073, 672453000000, 
4.5841275720097325, 0.03853554769680597, 0.9156620359961081, 672521000000, 
4.590217561212877, 0.03993833660560201, 0.9168387462302537, 672589000000, 
4.5964866496311085, 0.04119692540458667, 0.9180554521902478, 672657000000, 
4.606178681146393, 0.05320373311172114, 0.9195255261326918, 672759000000, 
4.612802099855439, 0.05438483408110114, 0.9210311620421961, 672827000000, 
4.619530090291141, 0.044504697149158425, 0.9225673914195315, 672895000000, 
4.626341513910054, 0.04513138018205076, 0.9239115802704422, 672963000000, 
4.6332132294200745, 0.04561046376311199, 0.925272322241418, 673031000000, 
4.640119792764798, 0.0459275961824801, 0.9266449690729951, 673099000000, 
4.647038482644173, 0.04608417741366111, 0.928024766988603, 673167000000, 
4.653940612328826, 0.046069398546760475, 0.9294065925158531, 673235000000, 
4.660795937719885, 0.04585818358570748, 0.9307850021795256, 673303000000, 
4.66757449981485, 0.04544629162007929, 0.9321540699909041, 673371000000, 
4.674243460284421, 0.044825075215119504, 0.9335075931879437, 673439000000, 
4.683963519152101, 0.054630064457503735, 0.9350520986167581, 673541000000, 
4.690197117091939, 0.05317885602506086, 0.9365602731018974, 673609000000, 
4.699072244285578, 0.05036241711158832, 0.9382155253686412, 673711000000, 
4.704604182458952, 0.048023551223375094, 0.939591569589098, 673779000000, 
4.709770563072454, 0.035661062622921826, 0.9408964659877987, 673847000000, 
